"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","is_interneruon_marker"
"Scamp5",2.48469940452731e-10,1.68942482786352,0.101,0.017,7.06797592611837e-06,"12","Scamp5","N/A"
"Sucla2",1.06116468784914e-16,1.6857838865863,0.152,0.023,3.01858907105565e-12,"12","Sucla2","N/A"
"Cadm2.1",4.40654539317344e-17,1.68577032550018,0.197,0.038,1.25348590254212e-12,"12","Cadm2","N/A"
"Snca",2.68380147117587e-16,1.68245519680225,0.141,0.019,7.63434166490688e-12,"12","Snca","N/A"
"Gls",9.80790548424923e-12,1.67678511505878,0.116,0.019,2.78995679404954e-07,"12","Gls","N/A"
"Tsc22d1.1",3.28573890127528e-22,1.66895895994813,0.242,0.044,9.34661287856767e-18,"12","Tsc22d1","N/A"
"Atp2a2.1",8.07134055671299e-23,1.6675207923445,0.242,0.043,2.29597353476258e-18,"12","Atp2a2","N/A"
"Mapk9",8.95939391337941e-10,1.6667790923834,0.101,0.017,2.54858919259991e-05,"12","Mapk9","N/A"
"Atp6v1e1.1",1.70981536086222e-31,1.65049346818095,0.348,0.066,4.86374077550868e-27,"12","Atp6v1e1","N/A"
"Gnl3l",3.95799885500204e-12,1.65027223883813,0.111,0.017,1.12589235429388e-07,"12","Gnl3l","N/A"
"Tmem65",3.81993188396186e-08,1.6426402548984,0.101,0.021,0.00108661782371179,"12","Tmem65","N/A"
"Mapk1",1.19269631651618e-16,1.64210690717187,0.172,0.03,3.39274394196192e-12,"12","Mapk1","N/A"
"Map2",6.30433218627385e-15,1.64119284164424,0.146,0.024,1.79333033370746e-10,"12","Map2","Interneuron Marker"
"Ids",3.12767544606351e-10,1.63718112342056,0.106,0.018,8.89698557387226e-06,"12","Ids","N/A"
"TUSC3",8.31872010264312e-13,1.62447502432961,0.116,0.018,2.36634312039786e-08,"12","TUSC3","N/A"
"Epdr1",9.30690352729274e-14,1.62100629162626,0.111,0.015,2.64744177737369e-09,"12","Epdr1","N/A"
